country_code,country_name,continent,population,air_pollution_pm25,infant_mortality_rate,life_expectancy_both,life_expectancy_female,life_expectancy_male,obesity_prevalence,tuberculosis_incidence,under5_mortality_rate,adult_literacy_rate,basic_water_access_pct,gdp_per_capita,health_expenditure_per_capita,hospital_beds_per_1000,measles_immunization_pct,neonatal_mortality_rate,physicians_per_1000,population_total,urban_population_pct,cases_per_1m,deaths_per_1m,case_fatality_rate,health_system_index,socioeconomic_index,health_outcome_score
ABW,Aruba,North America,107609.0,10.22044,46.3327198,75.29554064,21.44475675,65.4608084,31.235856,93.5,12.224410456,91.40634550729564,96.7258902380545,30645.8906024548,465.63766479,2.1149999999999998,92.0,9.7,2.3970000000000002,109203.0,62.288276286885,410969.0,2714.0,0.6603,0.46438071639994716,0.5588781281872808,0.2744232305723171
AFE,Africa Eastern and Southern,,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
AFG,Afghanistan,Asia,40754388.0,62.48616,2.40712595,62.54955059,15.41138145,52.83748334,12.418921,65.0,60.562416568,87.6600036621094,69.8226976480641,496.6025042585,74.0642395,0.38,57.0,37.4,0.214,37856121.0,25.1437258839803,5746.0,196.0,3.4146,0.17624545865925917,0.30170590501597605,-0.17160037592009506
AFW,Africa Western and Central,,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
AGO,Angola,Africa,35027343.0,27.16477,10.60001993,60.3301794,14.90354951,55.39973017,5.5391729,64.0,48.61314517,49.0,64.1599110373067,2493.67884440177,64.4466095,0.75,59.0,19.4,0.1265,32375632.0,66.6637823180533,3064.0,55.0,1.8048,0.1687017362221378,0.2946754678081161,-0.1833209891802376
AIA,Anguilla,North America,15230.0,10.22044,46.3327198,75.29554064,21.44475675,65.4608084,31.235856,93.5,5.885225582,91.40634550729564,96.7258902380545,11673.7394555761,465.63766479,2.1149999999999998,92.0,9.7,2.3970000000000002,385829.0,71.4382284948964,256336.0,788.0,0.3074,0.46438071639994716,0.5417096279086174,0.32942644432205237
ALB,Albania,Europe,2866374.0,16.27997,14.07222366,76.17478761,20.07652645,69.43491219,23.602627,99.0,8.745723235,99.61000061035155,94.758223221518,6069.43903131027,366.34014893,2.84,95.0,7.1,1.645,2567801.0,56.7639071287255,116825.0,1258.0,1.0766,0.4588924082192956,0.50419155492539,0.5532048831673012
AND,Andorra,Europe,77463.0,8.52423,2.548419952,80.90340137,23.28289156,69.14331489,17.555156,99.0,3.174281828,99.61000061035155,100.0,41257.816459345,3021.078125,5.050000000000001,99.0,1.5,4.392,76474.0,88.5391793666245,619844.0,2130.0,0.3436,0.6754520923759065,0.7361074721576352,0.8059420822494122
ARB,Arab World,,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
ARE,UAE,Asia,10081785.0,38.92641,3.29888773,82.29087408,23.52044163,69.6863442,32.001853,99.0,4.477033732,87.6600036621094,97.9415735149907,4805.75371765917,279.27058410999996,2.615,97.0,8.6,2.255,17845429.5,63.8573092590878,105837.0,233.0,0.2201,0.48287500116152937,0.473030978489054,0.8257215981221067
ARG,Argentina,South America,46010234.0,11.97366,41.82795715,77.01582731,21.59439101,68.27068512,31.453845,83.0,9.71001628,94.57131334997685,95.41614476396654,9955.97478680428,1007.45629883,3.69,86.0,6.1,5.25,44973465.0,91.8567844513802,220143.0,2844.0,1.2918,0.5504606677584938,0.6355590647819271,0.372783809640927
ARM,Armenia,Asia,2971966.0,36.23722,0.029999999,75.66635568,22.61418557,68.95984983,17.022085,92.0,10.669708174,100.0,99.4591789118501,4597.22887399548,533.69952393,4.06,95.0,6.4,3.026,2962500.0,65.0047033570428,152031.0,2953.0,1.9425,0.5307465768131588,0.5356167137514164,0.6213854152759735
ASM,American Samoa,,5797805.0,15.21878,10.60000038,75.0010583,20.38805674,65.19040807,21.059428,93.5,13.316700793,87.6600036621094,97.6403544846485,6472.54544924705,279.27058410999996,2.1149999999999998,94.0,9.7,2.376,9694824.0,63.8573092590878,128843.0,788.0,0.8749,0.4670086198755694,0.4778386914548347,0.5070889338846867
ATG,Antigua and Barbuda,North America,99509.0,8.42492,33.77563477,75.65878463,20.1435743,65.15581822,31.235856,99.0,8.00958823,91.40634550729564,98.8436169017974,18896.3721832248,808.14996338,2.1149999999999998,97.0,6.0,2.3970000000000002,91364.0,24.708337524045,91509.0,1467.0,1.6033,0.4984544356296106,0.3707448966955535,0.40830841780574806
AUS,Australia,Australia-Oceania,26068792.0,9.19453,0.068250708,80.72082576,26.60301771,70.25644524,28.802299,95.0,3.218196172,87.6600036621094,99.9698532048744,55194.7585097428,5543.37841797,2.1149999999999998,94.0,2.4,3.808,25334826.0,87.3019647888406,454687.0,937.0,0.206,0.6820350294811435,0.714599643840924,0.8181224598401347
AUT,Austria,Europe,9066710.0,13.33314,5.210000038,79.44882171,25.59762527,71.09760264,14.900239,88.0,2.675155476,99.61000061035155,99.9999997360902,49885.9947355204,5313.19287109,7.19,95.0,2.2,5.318,8879920.0,68.3176044750522,670727.0,2486.0,0.3707,0.7945242002110635,0.6779974239838061,0.7535744856732234
AZE,Azerbaijan,Asia,10300205.0,27.15334,0.0,75.79966602,19.5536218,66.62391976,24.988432,74.0,17.704899039,99.8000030517578,93.2188338102912,4805.75371765917,199.25746155,3.94,78.0,14.2,3.148,10024283.0,58.1308191977779,81089.0,1010.0,1.2452,0.44630521805212037,0.5070573093383426,0.5640436305802597
BDI,Burundi,Africa,12624840.0,26.30518,10.60001993,66.23402468,15.46180664,56.2073357,3.5043184,93.0,35.628494718,49.0,63.7579908768374,234.31061590725,22.2435379,1.1400000000000001,92.0,21.2,0.1265,12255336.0,18.786178154187,4334.0,3.0,0.0694,0.2787890961066307,0.09165008108536545,0.08393357054192713
BEL,Belgium,Europe,11668278.0,12.29753,0.0,81.60895006,22.60210742,70.55246024,18.544669,97.0,2.908091878,99.61000061035155,100.0,46716.6227467964,5087.45654297,5.57,96.0,2.3,3.424,11488980.0,87.0961631189222,416659.0,2946.0,0.7071,0.7202369820160052,0.7459302110384626,0.8445456717663312
BEN,Benin,Africa,12784726.0,32.60628,83.85305023,61.76220363,16.47458143,56.83105426,6.1836995,72.0,56.932783354,49.0,67.9832516982572,1130.82135339795,33.9457283,0.4,58.0,29.7,0.06,12726755.0,48.7125500590248,2193.0,13.0,0.5814,0.16917172864431493,0.21706553818040866,-0.7302184614296093
BES,Caribbean Netherlands,North America,26647.0,10.22044,46.3327198,75.29554064,21.44475675,65.4608084,31.235856,93.5,12.224410456,91.40634550729564,96.7258902380545,11673.7394555761,465.63766479,2.1149999999999998,92.0,9.7,2.3970000000000002,385829.0,71.4382284948964,438398.0,1426.0,0.3253,0.46438071639994716,0.5417096279086174,0.2744232305723171
